state_x,state_y,total_vaccinations,date,0,1,2
Alabama,Alabama,84040,1/13/21,-4.433198817,-2.610954872,-2.320892062
Alabama,Alabama,100567,1/15/21,-4.257899213,-2.559712663,-2.270417562
Alabama,Alabama,130795,1/19/21,-4.102256329,-2.404424255,-1.913714184
Alabama,Alabama,139200,1/20/21,-4.039474172,-2.401091788,-1.957422674
Alabama,Alabama,165919,1/21/21,-3.663459153,-2.301559632,-1.440281872
Alabama,Alabama,199314,1/22/21,-3.327375107,-2.113130172,-1.005829038
Alabama,Alabama,221540,1/23/21,-3.234240906,-1.920639341,-0.811652149
Alabama,Alabama,243737,1/24/21,-3.058863059,-1.760807199,-0.501629104
Alabama,Alabama,250612,1/25/21,-3.158745442,-1.661648463,-0.576752036
Alabama,Alabama,254959,1/26/21,-3.18846487,-1.723074453,-0.838886814
Alabama,Alabama,266444,1/27/21,-3.07315163,-1.784044207,-0.965590384
Alabama,Alabama,278993,1/28/21,-3.082518008,-1.81576669,-1.028243489
Alabama,Alabama,300915,1/29/21,-2.965300737,-1.825397933,-0.863333171
Alabama,Alabama,342436,1/30/21,-2.542033079,-1.667556857,-0.253127219
Alabama,Alabama,353974,1/31/21,-2.792207174,-1.5296538,-0.49628951
Alabama,Alabama,358280,2/1/21,-2.848795411,-1.488865719,-0.546960871
Alabama,Alabama,371882,2/2/21,-2.667798402,-1.486664153,-0.417454169
Alabama,Alabama,388339,2/3/21,-2.570257251,-1.527252318,-0.64510078
Alabama,Alabama,408428,2/4/21,-2.426832318,-1.486683179,-0.592597664
Alabama,Alabama,430597,2/5/21,-2.32492674,-1.417925144,-0.441149131
Alabama,Alabama,455173,2/6/21,-2.304153696,-1.399194456,-0.383355355
Alabama,Alabama,462332,2/7/21,-2.445954883,-1.307163074,-0.523320775
Alabama,Alabama,467636,2/8/21,-2.435348534,-1.276091605,-0.500322235
Alabama,Alabama,490969,2/9/21,-2.157299827,-1.262638628,-0.233857798
Alabama,Alabama,515802,2/10/21,-2.010428634,-1.210078854,-0.2028064
Alabama,Alabama,543237,2/11/21,-1.865410427,-1.155113196,-0.210709063
Alabama,Alabama,571115,2/12/21,-1.735907372,-1.072294064,-0.138743995
Alabama,Alabama,601159,2/13/21,-1.594394106,-0.986740571,-0.054485541
Alabama,Alabama,612254,2/14/21,-1.695175297,-0.851430026,-0.160578437
Alabama,Alabama,636682,2/16/21,-1.639379752,-0.827986881,-0.271003392
Alabama,Alabama,650020,2/17/21,-1.647060277,-0.845701667,-0.332887719
Alabama,Alabama,672038,2/18/21,-1.526531464,-0.835647672,-0.190345803
Alabama,Alabama,739132,2/19/21,-0.73524546,-0.737050697,0.547890342
Alabama,Alabama,776936,2/20/21,-0.815175452,-0.449618116,0.471340817
Alabama,Alabama,788613,2/21/21,-0.992520629,-0.291886827,0.272291713
Alabama,Alabama,793614,2/22/21,-1.043823622,-0.250685677,0.174196094
Alabama,Alabama,815108,2/23/21,-0.783569429,-0.230880934,0.459427882
Alabama,Alabama,839703,2/24/21,-0.631382842,-0.183642305,0.405553502
Alabama,Alabama,864757,2/25/21,-0.534470077,-0.125613667,0.388929809
Alabama,Alabama,893859,2/26/21,-0.644200548,-0.317858426,-0.465255305
Alabama,Alabama,931090,2/27/21,-0.466185337,-0.260877209,-0.361563517
Alabama,Alabama,942502,2/28/21,-0.648988525,-0.1098962,-0.566190345
Alabama,Alabama,948393,3/1/21,-0.67231176,-0.065015826,-0.595590401
Alabama,Alabama,972161,3/2/21,-0.440761349,-0.104014046,-0.544868798
Alabama,Alabama,1000031,3/3/21,-0.30169846,-0.039596724,-0.436490973
Alabama,Alabama,1032171,3/4/21,-0.133881092,0.021842773,-0.471259428
Alabama,Alabama,1064578,3/5/21,-0.019703738,0.111124709,-0.446090827
Alabama,Alabama,1099697,3/6/21,0.092262429,0.158860523,-0.567481667
Alabama,Alabama,1110132,3/7/21,-0.088207788,0.299371664,-0.770656099
Alabama,Alabama,1116676,3/8/21,-0.097001172,0.338472956,-0.787468172
Alabama,Alabama,1140984,3/9/21,0.123892654,0.297803389,-0.739887789
Alabama,Alabama,1173820,3/10/21,0.319253226,0.330118902,-0.805798804
Alabama,Alabama,1209802,3/11/21,0.472878304,0.4106043,-0.792037767
Alabama,Alabama,1249205,3/12/21,0.653976636,0.519525861,-0.700167025
Alabama,Alabama,1288242,3/13/21,0.790482929,0.614359005,-0.826160381
Alabama,Alabama,1298612,3/14/21,0.582563029,0.775844812,-1.066719638
Alabama,Alabama,1306419,3/15/21,0.592801778,0.805910392,-1.069138011
Alabama,Alabama,1332298,3/16/21,0.830828881,0.771549922,-1.063286983
Alabama,Alabama,1363987,3/17/21,0.967631086,0.799808794,-1.15114701
Alabama,Alabama,1390066,3/18/21,0.944127181,0.849015891,-1.302460426
Alabama,Alabama,1426696,3/19/21,1.115465711,0.875145198,-1.215562839
Alabama,Alabama,1460782,3/20/21,1.163527427,0.949354505,-1.296376967
Alabama,Alabama,1472666,3/21/21,1.017598353,1.08540752,-1.475489455
Alabama,Alabama,1479271,3/22/21,0.984113555,1.121669117,-1.520272755
Alabama,Alabama,1509445,3/23/21,1.294641122,1.081520047,-1.457803797
Alabama,Alabama,1542416,3/24/21,1.436482831,1.131449026,-1.652034746
Alabama,Alabama,1579091,3/25/21,1.625912756,1.227448505,-1.625739566
Alabama,Alabama,1611404,3/26/21,1.655242242,1.303725372,-1.727222291
Alabama,Alabama,1645858,3/27/21,1.76861022,1.372383495,-1.739478047
Alabama,Alabama,1659102,3/28/21,1.632937937,1.505892295,-1.911759247
Arizona,Arizona,154745,1/13/21,-3.314513027,-3.506029016,-1.907735452
Arizona,Arizona,197086,1/15/21,-2.836933924,-3.344843718,-1.294123371
Arizona,Arizona,266276,1/19/21,-2.598768667,-3.101493129,-0.728838645
Arizona,Arizona,281887,1/20/21,-2.597267641,-3.238707319,-1.341734887
Arizona,Arizona,303899,1/21/21,-2.44229339,-3.254505476,-1.274106592
Arizona,Arizona,329349,1/22/21,-2.305225715,-3.231152447,-1.150928691
Arizona,Arizona,360958,1/23/21,-2.079488136,-3.16232588,-0.867427011
Arizona,Arizona,390623,1/24/21,-1.941687155,-3.05309556,-0.646874838
Arizona,Arizona,413662,1/25/21,-1.896356096,-2.94601978,-0.539259424
Arizona,Arizona,430892,1/26/21,-1.87645271,-2.897547029,-0.516880762
Arizona,Arizona,458258,1/27/21,-1.684161752,-2.987656203,-0.754405143
Arizona,Arizona,487149,1/28/21,-1.550643061,-2.936496579,-0.632138396
Arizona,Arizona,521097,1/29/21,-1.361630383,-2.873932663,-0.386861581
Arizona,Arizona,557369,1/30/21,-1.21374036,-2.789151702,-0.170691851
Arizona,Arizona,594104,1/31/21,-1.075097414,-2.68599484,0.045990903
Arizona,Arizona,620608,2/1/21,-1.070572607,-2.565241245,0.099569228
Arizona,Arizona,631662,2/2/21,-1.196445617,-2.559282316,-0.264465283
Arizona,Arizona,656040,2/3/21,-1.042493804,-2.655892184,-0.378867066
Arizona,Arizona,686116,2/4/21,-0.894888608,-2.625976089,-0.210322431
Arizona,Arizona,719458,2/5/21,-0.766993898,-2.578515434,-0.048817421
Arizona,Arizona,766788,2/6/21,-0.475182226,-2.508752745,0.318848103
Arizona,Arizona,809230,2/7/21,-0.37928488,-2.369416773,0.465289907
Arizona,Arizona,841018,2/8/21,-0.361738254,-2.230876915,0.521043965
Arizona,Arizona,863807,2/9/21,-0.333704102,-2.20697694,0.282987091
Arizona,Arizona,897757,2/10/21,-0.127332854,-2.250743415,0.201678773
Arizona,Arizona,941575,2/11/21,0.129259452,-2.19622576,0.431466439
Arizona,Arizona,990296,2/12/21,0.363842785,-2.093778645,0.697410259
Arizona,Arizona,1041021,2/13/21,0.524002572,-1.989143702,0.897110798
Arizona,Arizona,1089155,2/14/21,0.64756432,-1.854275638,1.059473732
Arizona,Arizona,1154583,2/16/21,0.721015229,-1.614779126,1.173763723
Arizona,Arizona,1164900,2/17/21,0.46675181,-1.541738784,0.902508525
Arizona,Arizona,1202770,2/18/21,0.778034491,-1.607912292,1.252390565
Arizona,Arizona,1376405,2/19/21,2.762557374,-1.848375909,2.539871098
Arizona,Arizona,1425295,2/20/21,1.82982922,-1.187836297,1.486331504
Arizona,Arizona,1469676,2/21/21,1.882214794,-1.079865612,1.547618978
Arizona,Arizona,1506572,2/22/21,1.889384727,-0.978896508,1.600230424
Arizona,Arizona,1525794,2/23/21,1.723743204,-0.947043801,1.208456601
Arizona,Arizona,1555942,2/24/21,1.93888154,-1.038880223,0.80538312
Arizona,Arizona,1607544,2/25/21,2.290199965,-1.062911709,0.933069532
Arizona,Arizona,1671294,2/26/21,2.066258685,-1.247055601,0.510480119
Arizona,Arizona,1728239,2/27/21,2.169559777,-1.098393216,0.574895911
Arizona,Arizona,1792447,2/28/21,2.448663191,-0.972161966,0.83483967
Arizona,Arizona,1849259,3/1/21,2.592682206,-0.788967788,0.955945435
Arizona,Arizona,1889742,3/2/21,2.629356801,-0.65302293,0.71252026
Arizona,Arizona,1930999,3/3/21,2.7708609,-0.625839504,0.465988174
Arizona,Arizona,1979929,3/4/21,2.932916302,-0.608907869,0.457240144
Arizona,Arizona,2038623,3/5/21,3.126371465,-0.618894277,0.289055089
Arizona,Arizona,2043739,3/6/21,2.482710702,-0.47611622,-0.46755539
Arizona,Arizona,2162602,3/7/21,3.890717181,-0.688715007,0.965090103
Arizona,Arizona,2215219,3/8/21,3.424669745,-0.299896982,0.415480852
Arizona,Arizona,2245854,3/9/21,3.261318009,-0.168774586,0.184145947
Arizona,Arizona,2293559,3/10/21,3.542093728,-0.244832702,-0.098509922
Arizona,Arizona,2350374,3/11/21,3.769648774,-0.18801529,0.043491719
Arizona,Arizona,2418267,3/12/21,4.046830585,-0.13808188,0.076576992
Arizona,Arizona,2484603,3/13/21,4.424380726,0.088117851,0.336993968
Arizona,Arizona,2557630,3/14/21,4.427922174,0.095251805,0.294161721
Arizona,Arizona,2605621,3/15/21,4.292246856,0.281008022,0.093683745
Arizona,Arizona,2655283,3/16/21,4.497540569,0.360240047,0.011822898
Arizona,Arizona,2697523,3/17/21,4.512974987,0.411726582,-0.33917441
Arizona,Arizona,2755436,3/18/21,4.762807866,0.424659702,-0.183299495
Arizona,Arizona,2760907,3/19/21,4.094831425,0.526520265,-1.131733522
Arizona,Arizona,2825939,3/20/21,4.7067879,0.342886043,-0.56586426
Arizona,Arizona,2893024,3/21/21,4.822943071,0.428942509,-0.506229447
Arizona,Arizona,2942907,3/22/21,4.778286915,0.589368849,-0.612574176
Arizona,Arizona,2970577,3/23/21,4.573688997,0.663017213,-1.100604651
Arizona,Arizona,3010048,3/24/21,4.761096937,0.63212446,-1.229215474
Arizona,Arizona,3106598,3/25/21,5.583382425,0.577851548,-0.574588571
Arizona,Arizona,3169061,3/26/21,5.678315628,0.910133401,-0.835476311
Arizona,Arizona,3239538,3/27/21,5.899954656,0.984310069,-0.734160488
Arizona,Arizona,3308671,3/28/21,6.02323995,1.100021105,-0.693858097
Colorado,Colorado,239665,1/13/21,-3.501805569,-1.806184126,-0.786888994
Colorado,Colorado,272233,1/15/21,-3.317247994,-1.661989945,-0.426057827
Colorado,Colorado,330292,1/19/21,-3.125004257,-1.39971272,0.09916006
Colorado,Colorado,340438,1/20/21,-3.226235541,-1.514216705,-0.488627108
Colorado,Colorado,353194,1/21/21,-3.180747519,-1.517059607,-0.511049614
Colorado,Colorado,377283,1/22/21,-2.970614469,-1.472253748,-0.260551008
Colorado,Colorado,377283,1/23/21,-3.248816337,-1.431713336,-0.660908972
Colorado,Colorado,434496,1/24/21,-2.36208776,-1.354219538,0.495153812
Colorado,Colorado,447880,1/25/21,-2.68186335,-1.102768899,0.191281081
Colorado,Colorado,457746,1/26/21,-2.722266953,-1.111658299,0.015064586
Colorado,Colorado,474527,1/27/21,-2.598472558,-1.128352923,-0.031874996
Colorado,Colorado,495706,1/28/21,-2.464353477,-1.088952312,0.026733939
Colorado,Colorado,521879,1/29/21,-2.324543451,-1.021064158,0.215190857
Colorado,Colorado,545356,1/30/21,-2.156432581,-0.860128571,0.44449052
Colorado,Colorado,569234,1/31/21,-2.235574409,-0.861480107,0.433174659
Colorado,Colorado,589787,2/1/21,-2.153246675,-0.763863691,0.563147746
Colorado,Colorado,601347,2/2/21,-2.217306063,-0.755427852,0.252500287
Colorado,Colorado,617125,2/3/21,-2.167295721,-0.803230689,0.042513901
Colorado,Colorado,638923,2/4/21,-2.060641636,-0.802322774,0.025099281
Colorado,Colorado,661703,2/5/21,-1.995570597,-0.750732398,0.09805413
Colorado,Colorado,694860,2/6/21,-1.75776732,-0.668308558,0.388996175
Colorado,Colorado,729895,2/7/21,-1.578179122,-0.533489324,0.625275456
Colorado,Colorado,751960,2/8/21,-1.608820088,-0.396907214,0.623380136
Colorado,Colorado,757560,2/9/21,-1.780785311,-0.380868697,0.216580291
Colorado,Colorado,787041,2/10/21,-1.449812139,-0.426527681,0.350088007
Colorado,Colorado,815108,2/11/21,-1.364096777,-0.368140848,0.269233625
Colorado,Colorado,844620,2/12/21,-1.243903916,-0.307102029,0.265816854
Colorado,Colorado,885581,2/13/21,-0.993912947,-0.22661899,0.544301142
Colorado,Colorado,926807,2/14/21,-0.844372632,-0.092047492,0.7316466
Colorado,Colorado,1000597,2/16/21,-0.464371947,0.244648158,1.14763385
Colorado,Colorado,1024167,2/17/21,-0.542198484,0.347450038,1.060607526
Colorado,Colorado,1053041,2/18/21,-0.433637796,0.352367046,1.001299303
Colorado,Colorado,1132448,2/19/21,0.421419002,0.422738216,1.787911599
Colorado,Colorado,1167895,2/20/21,0.119785774,0.691020625,1.408562814
Colorado,Colorado,1202161,2/21/21,0.17079482,0.772368892,1.470959637
Colorado,Colorado,1231699,2/22/21,0.175737223,0.855325186,1.488060181
Colorado,Colorado,1233466,2/23/21,-0.241278142,0.82862837,0.777593495
Colorado,Colorado,1268302,2/24/21,0.158227203,0.721224878,0.869514776
Colorado,Colorado,1294236,2/25/21,0.12293073,0.760132303,0.545662617
Colorado,Colorado,1323183,2/26/21,-0.027117211,0.64509996,0.194811482
Colorado,Colorado,1324715,2/27/21,-0.417007518,0.657975196,-0.356883017
Colorado,Colorado,1371577,2/28/21,0.137322867,0.596258692,0.230351666
Colorado,Colorado,1412910,3/1/21,0.253198452,0.754012101,0.342547941
Colorado,Colorado,1428854,3/2/21,0.144160674,0.916809192,0.070086732
Colorado,Colorado,1462053,3/3/21,0.353628218,0.855237175,-0.015889002
Colorado,Colorado,1494910,3/4/21,0.460758406,0.908364882,-0.160191574
Colorado,Colorado,1528864,3/5/21,0.575487754,0.958770514,-0.262126635
Colorado,Colorado,1580162,3/6/21,1.080144246,1.12162231,0.211458489
Colorado,Colorado,1626499,3/7/21,1.144364728,1.246719498,0.253316029
Colorado,Colorado,1627458,3/8/21,0.582536196,1.355132222,-0.363031389
Colorado,Colorado,1650716,3/9/21,0.86604865,1.285854633,-0.35253788
Colorado,Colorado,1694476,3/10/21,1.205537248,1.287458784,-0.28783807
Colorado,Colorado,1764066,3/11/21,1.770114443,1.392153916,0.032917352
Colorado,Colorado,1817050,3/12/21,1.853904771,1.626597703,-0.018369301
Colorado,Colorado,1878538,3/13/21,2.11933375,1.742985694,0.162524796
Colorado,Colorado,1878639,3/14/21,1.387653512,1.900266482,-0.62991193
Colorado,Colorado,1933717,3/15/21,2.234341278,1.913006691,0.226957195
Colorado,Colorado,1948333,3/16/21,1.890666784,2.10733195,-0.167093762
Colorado,Colorado,1987533,3/17/21,2.179165841,2.005841742,-0.374475695
Colorado,Colorado,2029213,3/18/21,2.174298769,1.979208625,-0.677335887
Colorado,Colorado,2080284,3/19/21,2.35886084,2.025157963,-0.58865357
Colorado,Colorado,2188145,3/20/21,3.303804929,2.111005411,0.252602782
Colorado,Colorado,2250372,3/21/21,3.361625937,2.612861769,0.21733436
Colorado,Colorado,2276660,3/22/21,2.981994318,2.756667013,-0.222690617
Colorado,Colorado,2310425,3/23/21,3.222332193,2.80978976,-0.255379135
Colorado,Colorado,2344091,3/24/21,3.282603431,2.836535275,-0.468228884
Colorado,Colorado,2388899,3/25/21,3.505294514,2.85763262,-0.530196829
Colorado,Colorado,2443350,3/26/21,3.722040605,2.914989576,-0.456427815
Colorado,Colorado,2500874,3/27/21,3.627676315,2.874989734,-0.641578455
Colorado,Colorado,2569087,3/28/21,3.885309372,2.969964483,-0.443844773
Connecticut,Connecticut,161875,1/13/21,-3.869927315,-1.45785757,-0.358311552
Connecticut,Connecticut,185866,1/15/21,-3.515902274,-1.179511968,-0.077623492
Connecticut,Connecticut,229524,1/19/21,-3.267935722,-0.858530169,0.584563655
Connecticut,Connecticut,243140,1/20/21,-3.301916903,-1.037912907,-0.210978288
Connecticut,Connecticut,264707,1/21/21,-3.046807543,-0.895619186,0.165088476
Connecticut,Connecticut,287440,1/22/21,-2.903783497,-0.807121501,0.149875508
Connecticut,Connecticut,306796,1/23/21,-2.796829826,-0.662921794,0.262498243
Connecticut,Connecticut,321737,1/24/21,-2.733073648,-0.532012328,0.411196468
Connecticut,Connecticut,331264,1/25/21,-2.726643454,-0.477433073,0.447328524
Connecticut,Connecticut,342643,1/26/21,-2.674997289,-0.466913527,0.391798169
Connecticut,Connecticut,360991,1/27/21,-2.517921179,-0.428760568,0.445041671
Connecticut,Connecticut,381160,1/28/21,-2.437920693,-0.385711065,0.42062628
Connecticut,Connecticut,403370,1/29/21,-2.324466217,-0.290881704,0.57764964
Connecticut,Connecticut,421191,1/30/21,-2.289486852,-0.180772584,0.672722917
Connecticut,Connecticut,436842,1/31/21,-2.232064328,-0.082064837,0.791351187
Connecticut,Connecticut,449253,2/1/21,-2.173037075,-0.000178509,0.885853199
Connecticut,Connecticut,456090,2/2/21,-2.207199185,0.044380685,0.896256879
Connecticut,Connecticut,465008,2/3/21,-2.247250827,-0.034469991,0.636839233
Connecticut,Connecticut,481826,2/4/21,-2.176361334,-0.101656864,0.38481497
Connecticut,Connecticut,502347,2/5/21,-2.064839016,-0.029735998,0.540876189
Connecticut,Connecticut,519400,2/6/21,-2.075445048,-0.035020804,0.139925081
Connecticut,Connecticut,533941,2/7/21,-2.042895831,0.04155018,0.194647165
Connecticut,Connecticut,542414,2/8/21,-2.071809366,0.076925651,0.164791861
Connecticut,Connecticut,554322,2/9/21,-1.991699274,0.065801986,-0.055450638
Connecticut,Connecticut,574750,2/10/21,-1.760731425,0.171942262,0.214725645
Connecticut,Connecticut,600249,2/11/21,-1.560677426,0.292647322,0.406690926
Connecticut,Connecticut,626678,2/12/21,-1.406081566,0.432583392,0.589340872
Connecticut,Connecticut,654766,2/13/21,-1.22443137,0.569029462,0.643404056
Connecticut,Connecticut,674704,2/14/21,-1.185151891,0.710761431,0.667745496
Connecticut,Connecticut,711142,2/16/21,-0.973605961,0.87671087,0.615435959
Connecticut,Connecticut,738191,2/17/21,-0.752630492,0.980161301,0.865862488
Connecticut,Connecticut,767183,2/18/21,-0.604542722,1.103945449,1.01250085
Connecticut,Connecticut,822615,2/19/21,-0.001939325,1.312266444,1.517573109
Connecticut,Connecticut,847820,2/20/21,-0.192415804,1.513016471,1.182336753
Connecticut,Connecticut,860534,2/21/21,-0.296726332,1.588942409,1.070102492
Connecticut,Connecticut,882777,2/22/21,-0.106994826,1.646276307,1.29126722
Connecticut,Connecticut,892882,2/23/21,-0.244867341,1.651906722,0.922790308
Connecticut,Connecticut,912033,2/24/21,-0.181302549,1.569535664,0.643509333
Connecticut,Connecticut,925946,2/25/21,-0.279256399,1.556953609,0.467569556
Connecticut,Connecticut,954153,2/26/21,-0.266410968,1.39693547,0.129579616
Connecticut,Connecticut,980211,2/27/21,-0.195147818,1.501371719,0.178996762
Connecticut,Connecticut,1004467,2/28/21,-0.0552423,1.65455206,0.335931909
Connecticut,Connecticut,1031305,3/1/21,0.08991961,1.756036928,0.495707825
Connecticut,Connecticut,1040154,3/2/21,-0.057423555,1.799080566,-0.034867101
Connecticut,Connecticut,1061375,3/3/21,0.125488351,1.808626265,0.050149136
Connecticut,Connecticut,1087313,3/4/21,0.321107162,1.908648902,0.113209123
Connecticut,Connecticut,1121517,3/5/21,0.528486459,1.970853679,0.035059138
Connecticut,Connecticut,1157114,3/6/21,0.709938669,2.12417661,0.176609966
Connecticut,Connecticut,1195617,3/7/21,0.942069657,2.306669578,0.420073877
Connecticut,Connecticut,1228865,3/8/21,1.068229211,2.487547587,0.505324193
Connecticut,Connecticut,1245687,3/9/21,1.033920122,2.608799852,0.091992133
Connecticut,Connecticut,1272581,3/10/21,1.247458727,2.67142438,0.171747807
Connecticut,Connecticut,1304302,3/11/21,1.430095974,2.76514001,0.162042513
Connecticut,Connecticut,1345350,3/12/21,1.690177253,2.881108138,0.250983422
Connecticut,Connecticut,1411525,3/13/21,2.384568885,3.201537508,0.679112943
Connecticut,Connecticut,1411532,3/14/21,1.580019684,3.317480165,-0.214976025
Connecticut,Connecticut,1442439,3/15/21,1.925390236,3.262692336,0.109009214
Connecticut,Connecticut,1460334,3/16/21,1.886266428,3.351135519,-0.288227402
Connecticut,Connecticut,1483587,3/17/21,1.982561653,3.376544952,-0.313678199
Connecticut,Connecticut,1514945,3/18/21,2.151232727,3.422729677,-0.344740141
Connecticut,Connecticut,1551481,3/19/21,2.284689156,3.473962194,-0.481519844
Connecticut,Connecticut,1586484,3/20/21,2.173791441,3.437618551,-0.72001377
Connecticut,Connecticut,1623090,3/21/21,2.540145996,3.728995252,-0.365774632
Connecticut,Connecticut,1658338,3/22/21,2.668426739,3.862568945,-0.290724614
Connecticut,Connecticut,1676905,3/23/21,2.598201368,3.977190527,-0.65503882
Connecticut,Connecticut,1701298,3/24/21,2.742635651,4.008679961,-0.851388292
Connecticut,Connecticut,1737160,3/25/21,2.980076145,4.079990912,-0.746219477
Connecticut,Connecticut,1774045,3/26/21,3.120382801,4.172693696,-0.964124209
Connecticut,Connecticut,1813854,3/27/21,3.298722505,4.304717987,-0.908734857
Connecticut,Connecticut,1854289,3/28/21,3.450689739,4.448896416,-0.822522924
Delaware,Delaware,28413,1/13/21,-5.109158034,-1.105544668,-1.697610015
Delaware,Delaware,31090,1/15/21,-5.093172191,-1.049922078,-1.648957958
Delaware,Delaware,42557,1/19/21,-4.722412631,-0.632089064,-0.824657958
Delaware,Delaware,45640,1/20/21,-4.677706043,-0.590351139,-0.890318143
Delaware,Delaware,49369,1/21/21,-4.605213431,-0.515799931,-0.84110671
Delaware,Delaware,54257,1/22/21,-4.446853563,-0.355622795,-0.73485382
Delaware,Delaware,60023,1/23/21,-4.277244397,-0.159632219,-0.39420195
Delaware,Delaware,64186,1/24/21,-4.188420711,-0.024491622,-0.18910924
Delaware,Delaware,66914,1/25/21,-4.153334107,0.042334997,-0.084446917
Delaware,Delaware,68507,1/26/21,-4.212535214,-0.028032161,-0.418064327
Delaware,Delaware,77449,1/27/21,-3.934947372,0.188484248,-0.148743611
Delaware,Delaware,82289,1/28/21,-3.873686023,0.326011215,-0.008053425
Delaware,Delaware,87300,1/29/21,-3.797387451,0.421271495,0.125972968
Delaware,Delaware,92509,1/30/21,-3.723686754,0.516863634,0.299532931
Delaware,Delaware,99954,1/31/21,-3.523812728,0.729952525,0.669691288
Delaware,Delaware,102697,2/1/21,-3.516184131,0.81039669,0.721563906
Delaware,Delaware,103770,2/2/21,-3.521434775,0.830257972,0.734089662
Delaware,Delaware,107544,2/3/21,-3.587415716,0.709628909,0.435960148
Delaware,Delaware,110784,2/4/21,-3.598197076,0.70317398,0.307599294
Delaware,Delaware,114226,2/5/21,-3.570756299,0.732308177,0.37511551
Delaware,Delaware,118475,2/6/21,-3.517501215,0.791869216,0.487231271
Delaware,Delaware,123428,2/7/21,-3.482752112,0.835039052,0.586652928
Delaware,Delaware,126650,2/8/21,-3.438830352,0.917153926,0.682979263
Delaware,Delaware,127523,2/9/21,-3.452398149,0.932470943,0.656345651
Delaware,Delaware,130116,2/10/21,-3.504038069,0.818428012,0.156824528
Delaware,Delaware,133370,2/11/21,-3.447685244,0.879172988,0.277783213
Delaware,Delaware,136591,2/12/21,-3.427281669,0.899953025,0.210768431
Delaware,Delaware,142103,2/13/21,-3.306133134,1.015067973,0.410932588
Delaware,Delaware,146437,2/14/21,-3.266403504,1.087416694,0.496122569
Delaware,Delaware,152387,2/16/21,-3.161732037,1.234652466,0.652521761
Delaware,Delaware,155111,2/17/21,-3.120886117,1.286608166,0.718558219
Delaware,Delaware,159845,2/18/21,-3.007985095,1.395441748,0.900501635
Delaware,Delaware,175305,2/19/21,-2.535691449,1.778079263,1.268253895
Delaware,Delaware,180600,2/20/21,-2.549400449,1.913506752,1.29058206
Delaware,Delaware,180940,2/21/21,-2.661060062,1.86037123,1.154644948
Delaware,Delaware,183901,2/22/21,-2.617903597,1.878293374,1.262463768
Delaware,Delaware,186619,2/23/21,-2.720122476,1.709153805,0.30532595
Delaware,Delaware,189836,2/24/21,-2.712857663,1.683600564,-0.113893941
Delaware,Delaware,195534,2/25/21,-2.627627107,1.739367186,-0.237303603
Delaware,Delaware,203745,2/26/21,-2.650282733,1.696130563,-0.312363408
Delaware,Delaware,212739,2/27/21,-2.466256654,1.906050432,-0.084280802
Delaware,Delaware,219312,2/28/21,-2.290764302,2.144067167,0.148124961
Delaware,Delaware,225374,3/1/21,-2.164616301,2.301572245,0.301217023
Delaware,Delaware,225417,3/2/21,-2.305042174,2.199741903,-0.332019315
Delaware,Delaware,237669,3/3/21,-1.899387491,2.49478842,0.099177622
Delaware,Delaware,246194,3/4/21,-1.803883514,2.649834044,-0.047956125
Delaware,Delaware,255036,3/5/21,-1.702788152,2.763193646,-0.087813261
Delaware,Delaware,264601,3/6/21,-1.586702601,2.894777743,0.002696413
Delaware,Delaware,275467,3/7/21,-1.382270542,3.119466105,0.245696028
Delaware,Delaware,280674,3/8/21,-1.388675082,3.200207287,0.232914429
Delaware,Delaware,285101,3/9/21,-1.284288959,3.310306476,-0.000220148
Delaware,Delaware,285262,3/10/21,-1.55024105,3.0720206,-0.455985336
Delaware,Delaware,299695,3/11/21,-1.184151391,3.285569571,-0.300068597
Delaware,Delaware,307982,3/12/21,-1.161809905,3.408853148,-0.292636942
Delaware,Delaware,317790,3/13/21,-1.043687293,3.531501265,-0.223140385
Delaware,Delaware,317790,3/14/21,-1.328808164,3.355174344,-0.586404936
Delaware,Delaware,333896,3/15/21,-0.829394209,3.706866514,-0.01669599
Delaware,Delaware,338429,3/16/21,-0.881839437,3.805530923,-0.269616659
Delaware,Delaware,346179,3/17/21,-0.644617409,4.015651947,-0.283094539
Delaware,Delaware,354571,3/18/21,-0.679412712,3.975573328,-0.507786782
Delaware,Delaware,362023,3/19/21,-0.635091215,4.046517726,-0.509150941
Delaware,Delaware,372165,3/20/21,-0.516653504,4.149694433,-0.487898427
Delaware,Delaware,382342,3/21/21,-0.231016593,4.475060687,-0.150259836
Delaware,Delaware,389157,3/22/21,-0.37139108,4.380431462,-0.361328266
Delaware,Delaware,389157,3/23/21,-0.514573736,4.303995313,-0.792676184
Delaware,Delaware,397204,3/24/21,-0.368554569,4.363245778,-0.709236302
Delaware,Delaware,406635,3/25/21,-0.252151914,4.475401822,-0.820211235
Delaware,Delaware,417566,3/26/21,-0.073895755,4.660312473,-0.762552987
Delaware,Delaware,428136,3/27/21,0.028673164,4.785918454,-0.811972301
Delaware,Delaware,438768,3/28/21,0.133725438,4.916080466,-0.730016261
Georgia,Georgia,198756,1/13/21,-2.688632489,-4.023223823,-2.056798706
Georgia,Georgia,231305,1/15/21,-2.908280266,-3.895356127,-2.358740185
Georgia,Georgia,312336,1/19/21,-2.4804891,-3.873794906,-1.757151876
Georgia,Georgia,397048,1/20/21,-1.528767939,-3.967341915,-0.707850305
